tier_1	comments
else	Send email updates of progress of ticket.  Parts shipped, etc.
else	No complains, Engineer came and found the issue. After placed an order which took 2 days and it was installed on next day.. No compalins.
else	Repair wasn't completed before machine was returned, this should have occurred.
else	Inform the customer of updates on service. I had to call after 30 days of not hearing from the company in regards to my product. And then I still didnt receive the product back until after 60 days.. they should send emails and let the customer know the status of the service.
else	Response was slower than I expected by 3-4 days, and as a result, I did not receive the replacement phone before I had to leave town.
else	Not send these surveys until I've at least received the device back
else	Didn't receive further email as mentioned over phone for postage instructions.
else	Keep sufficient stock of spare parts and communicate and confirm when thr engineer can call.
else	this laptop for me is SUCK at all, please check with the record, its been 3-4 time been replace with the parts.
else	The technical support telephone experience was not comprehensive enough to resolve my issue.  A technician was sent to my house to solve the issue but it could have been handled over the telephone.
else	Answer there phone when trying to speak to someone. Constantly ringing out.
else	My laptop was sent back 2 times and problem was not fixed
else	Give me some more informative updates along the way
else	3 weeks later, the replacement product has still not shipped, despite 3 calls requesting a status update.
else	Send the proper parts to the technician the first time. Time with technician was extremely lengthy and required two total visits because wrong part was sent for day 1.
else	Need to work on Timeline for part delivery.
else	Perhaps, more regular updates on the process of the service
else	It will be better if on site service should come with some essential spare parts.
else	"Tell customer what the problem (specific hardware failure, software updates, etc.) was and what was done to fix it. The online status page should contain more information, rather than simply state ""repair on hold for part."" You could state which part so the customer will be informed. For most of us, purchasing a ThinkPad X1 Yoga (or similar) is a significant investment."
else	better response time for premium product!
else	Lenovo Ships out the part which arrives next business day, but we do not get an IBM technician until days later.  We pay for next business day service.  This is really frustrating.
else	You could update the online return status update, or provide tracking numbers when products are returned so you know when to expect them. And to use appropriate size boxes with proper packaging to ensure the products make it back safely and undamaged. I am glad it was a tower rather than a laptop or it would surely have cracked the screen. The return packaging was by far the worst I have ever seen from any online/catalog purchase.
else	I own a laptop and a phone, updates for the phone's firmware are not forthcoming. The first lenovo laptop I bought broke within the warranty period...not impressing at all
else	Was given incorrect information initially about being able to return product through BestBuy. When called back was told that was incorrect. Next representative told me would have to be sent into depot. First call resolution isn't important if issue isn't actually resolved. Would like an ETA or more communication from Depot when they have my product.
else	support engineer knowledge is very poor,but they do .
else	technician had poor communication, late by a day, resolved tickets without the issue being resolved, told us a part would be shipped overnight and it wasnt
else	3* battery drain fastly after the new update
else	improve the parts manufacture more
else	Dissatisfied that I received a new phone that the touch screen didn't work on. Satisfied in being able to get a quick turn around on a replacement device.
else	Fix your complex online support presence, its veru hard to follow and very disjointed to find out what applications can update what. Redundantlenovo support  apps create issues on my laptop
else	Don't ship fragile parts in flimsy boxes that get beat up by your couriers.
else	I do not receive pictures?? Maybe settings problem if u could help Thanks, Chris.
else	tech should have parts.   phone represents should be able to access e tickets
else	We are not technical person, So we can not do trouble shoot as per instructions because require software and Hardware not available on same time (Exp. Windows installation and extra Hardware equipment).. So we can expecting help beyond as per guidance from your end.
else	Resolve the problem in a more acceptable time frame, be more willing to replace the device when several parts fail at once, test that the issue is resolved once a technician replaces a part onsite rather than simply assuming that it is, send surveys once the issue is resolved rather than whilst the case is still open
else	Have more parts available in my area, and this type of thing used to be user-replaced, not requiring complete disassembly
else	Streamline the resolution of customer complaints
else	A new and more serious problem occurred due to the refurbished replacement part!!!
else	Order correct parts, scheduling, customer service takes ownership of case, followup, techs arrive when scheduled
else	speed of processing the product return, and shipping the replacement product
else	Please return my original hard drive and respond to my formal complaint
else	Put your phone number in the paperwork that is with the laptop.  Had no way of using my laptop to access the website. Had to call a friend.
else	waiting for warranty to be reset
else	Increase inventory of parts or have the parts shipped faster.
else	1.  Make it such that I don't need to return the device.2. Feedback on how the repair is going.
else	My computer was mailed on 6/27/2018 and not returned until 7/18/2018.  When I entered the case number on the website, no information came up.  Had to call and be placed on hold to get information.
else	to get support by phone to the correct department is a mess
else	Better quality control of replacement parts. 3 faulty motherboards is ridiculous.
else	Provide packaging for returns.
else	Please understand the technical issue clearly before giving the solution
else	When I initially chatted with tech support, I requested that I be sent a new cord. The tech insisted that I had a port problem. When I received my laptop back after 2 weeks it appears that all that was done was replace the cord.
else	Do what you say you are going to do and make it easier to contact Lenovo tech support.
Agent	Sometimes hard to understand the agent. Otherwise, no problems.
else	They did not return my wifi connector for the computer. The computer however does work for now.
else	Do not promise customers a new item then send a used part
else	Took long time (more than 2 weeks) for part to be available
else	Actually return consumer phone calls within 48 hours, as your customer servicers state. Process requests when requests are made. And explain situations thoroughly to ensure the customer understands why you are not able to process their request before they get off the line.
Agent	Improve the technical knowledge of the agents providing service to the customer.
else	inferior service quality, unnecessary making customer to wait for hours, Completely below standard technical team( not even aware about phone specifications and technologies involved), unpleasant attitude towards customer, creating other problems while correcting one.
else	The technical staff need better procedures to ensure faults are resolved before they return laptops so that a laptop does not need to be sent in 3 times to have a simple issue resolvedEnd users who have had poor experiences with getting issues resolved should be treated with a higher level of respect by customer service personnel When complaints are made about the service received, there should be accountability by the customer service staff to acknowledge poor service and apologise
else	Improve your technical respond as we are business user.
else	Talking on the phone to book in the repair was quite slow, as I was not told to make an account prior to the call and I was on hold for a while before this.
else	Improve on spare parts availability on next working day.
else	In past 6-7 months i need to visit lenovo service center 7 times every time they did same some format update and two times screen change still the problem doesn't resolve from root.
else	"Timely updates from onsite technician. Checking that device work after it is ""fixed"". Shorter phone wait times"
else	I brought the product with the issue, and i'm disappointed to took multiple chain of issues happened every time when another parts are replaced. So, good QA before ship the product will solve al these hassle.
else	The fact that you sent me a broken device, first pretend that it is a issue to get fixed in minimum time, I could have send device back for a refund and ordered another, which I would have got in a couple of days, instead as I said replacement it took more than a week (had to wait for device to be sent back and checked before replacement was sent out) why not just suggest I order a new one?
else	Speed and easiness of return
else	better call integration between departments. I had to make multiple calls to different departments only to find out it is not the department that handles technical support.
Agent	The hold time is too long.
else	Not let your technical support break my fucking computer.
else	send out the parts when they are promised
else	The process to replace my phone required that I either give a $400 security or wait until Motorola received my phone is ridiculous. I live in a very rural area and have a chronic illness and had no access to my phone for 3 1/2 days.
else	A resplacement since the laptop is really really loud at idle with temperatures around the 70s. While gaming, it gets to hovers between 94-98. Sometimes, the laptop is irresoponsive ever since the repair. My blue screening issue is fixed but my backlit keyboard wont light up now.
else	More professional.
else	I was facing below issue:-Earphone damagedDust particles in camera lensBoth were hardware issues But they said that fir raising request for earphones the need to delete all the data from my phone.I agreedBut after they returned my phone. I observed that they changed the software also.Some of the options are not available on my phone now after visiting the service center. Like1:-UI tuner option i cant enable2: while loading data in any app, one circular arrow is coming(reload icon)
else	Problem is intermittent and the parts replaced did not solve the problem.
else	solve the problem when you call your customer
else	When dealing with a no-boot scenario like mine, it might make your tech's life easier if you supply him with extra parts, like SSDs or RAM, in case the motherboard swap does not fix it. No blame on the tech, he cannot replace parts he hasn't got.
else	The technician that came (Choong) damaged the connector on the motherboard and ran off. I tried to call him but he wouldn't answer, so I had to call Lenovo and have someone else come back out again.
else	Send new parts - not used parts wasting everyone's time
else	The current model that we purchased has some technical glitch as per the Engineer
else	I have been told always part is not available and I have to wait for few weeks.
else	Fix and test the phone prior to returning it.  My phone still cannot connect to my carrier.
else	wrong parts delivered first time
else	Please try to make better hardware and laptop body part
else	Upon the return of the computer there was no pass word forwarded to ether my  e-mail address or my  daughters
else	Improve communication by notifying me before sending out a part to my address.
else	Repair my laptop free of charge
else	Faster resolution of issue.
else	no one came
else	Solve the problem on time, rather than being lazy...
else	provide tracking number for shipping box
else	It would save a lot of time and effort on all sides if the support tickets could be submitted online instead of on the phone. There was a mix up on what department should handle our product and we kept being transferred back and forth, waiting half an hour between representatives each time. One of those departments had stated we should wait 2 days to be contacted by a technician. When we called for an update two days later,  we found out our support ticket had been cancelled (!) without giving us any notification, so we had to submit a new ticket with a different department. All in all, a very bad and confusing experience for what should have been a next business day, on-site repair.
else	Eng should have basic knowledge before coming to site
else	the wrong part was sent the first time
else	Give feedback on the created service ticket, give notification more than 15 minutes ahead of the arrival of the service man.Fix the problem, instead of creating more (see the follow up ticket).
else	Tablet never appeared in your tracking system. Repair further damaged the product and I received it back with wires sticking out of it
else	Have past 14 days but still no update as promise in Sammy Shang email dated 25 Jun 2018.
else	Provide better updates on the ETA of the engineer
else	It took very little time to receive a new phone once I sent mine in.
else	As I said I had this computer for 7 months use it 2 times a week speakers stopped working they could not fix it taking control of my unit via internet so I had to send it in. Get it back speakers are all crackly and cut in and out so I had no computer for 2 weeks only to get it back with a terrible fix!
else	i understand an intermittent problem is hard to trouble shoot, hopefully they will completely7 replace the unit this time
else	Better shipping standards in regards to packaging replacement parts, specifically fragile parts.
else	Stop the background noise so I can hear the tech clearly.
else	in this scenario particularly /log control with a faulty part - better process - for a faster outcome 9 out of 10 is a faulty part took 10 days/ in addition address was picked up wrongly, this might be the biggest issue but not sure.
else	This was the worst service I have ever received, slowest and least acceptable, from any customer service in my life. Especially considering costs.
else	The first LCD sent was the wrong part.  Apparently this model was produced with many different LCDs and there was not a quick way to determine the proper part required.
else	the problem reoccurred as soon as i opened my computer
else	Long time taken for resolution
else	I submitted a form requesting clarification on resolving a problem with my laptop.  Instead of a reply, o received a call from someone stating they were on their way to my house to fix the problem.  They should have scheduled the service call instead of just planning to stop by.
else	provide extended warranty of the parts replaced
else	Make rma process better/easier from third parties like ASI
else	Stock more parts in local area.
else	Faster sparpart delivery & feedback to the service. It took two weeks to have the sparepart and the tests are still ongoing and waiting for manufacturer's feedback.
else	Just be a little quicker with phone time waiting..
else	Lern how to give service to customer and better product rather than faulty part
else	Proper information regarding who could do repairs and faster mail service.
else	Slow response times, back-ordered parts, phone reps difficult to understand, constant calls, took 2+ months to resolve.
Agent	The Malaysia Service Centre at Tropicana or Serembam area not so good,  always busy &  follow up very bad.
else	please ensure they are technically sound . I have numerous tele conversation with Lenscare , they are not up to par . It is very sad Lenovo have such people to handed technical issue .
else	Proactively engage Windows to make them aware that their updates often times result in the failure of device drivers to upload properly.
else	Give uniform to all technical support
else	Wrong part installed.
else	waited too long and listened to too many automated messages before I got through to anyone who could help me.I am an older person and older people find  it     frustrating to be told to look at your website.If we wanted to look at your website we would not be phoning.
else	Ask to check and never got 2nd return call back.
else	"1.  Shorten the wait time on the ""live"" chat support.2.  Don't re-direct me back and forth between departments.3. Reply my email after I sent in the additional information requested.  It's been over 24 hours now since I sent the email, and still no response yet."
else	If you deliver a faulty product, your return or exchange policy should atleast be for a month, instead of 10days.
else	update your Guarantee database.
else	The technician should verify that all updates are done prior to leaving the service site. In this case, I had to do the updates after he left, and one of them was a firmware update that apparently did no download correctly, causing the computer to die (inoperative). This required a second board to be installed, which has performed correctly.
else	Time until contact was made for service was slow--however the tech that came on site was knowledgable about the issue and communicated well. He advised best plant to get the tablet back to full functioning status in the quickest manner and that was very much appreciated.
Agent	you must help to follow up the case in your end since the case is still not resolved unless you close the case without any confirmation to us.
else	During call telefon was cut
else	They called multiple times to reschedule as the part was ordered and sent to the wrong place.
else	First wrong part was shipped, then broken part was shipped. And communication has been slow.
else	need to improve in communication and technical support.
else	Fix the issue, the device is still not functional...As of late the service has been terrible...This is no fault of the technicians as they are doing the best they can...The problem is that parts are on back order, they've come in damaged and there appears to be a lack of available technicians to service the area...The service you provided used to be top notch...1 or 2 day turn around.  That is no longer the case...Very disappointing!
else	Faster times from the moment the call is connected to the moment an actual person is speaking to me.
else	Machine was returned in worse condition than before, now it's back again..
else	create a better partnership with a courier company
else	Faster turn around, times from logging the job to repair / anything more than 2 days is not ideal
else	Make computers that work and employ technical support staff. You're a disgrace.
else	Show up or maybe even call back when promised.. I was told a tech would call back in 24-48 hours to schedule a time to show up and I have NEVER been called or contacted AT ALL! I have had to call back.  I RESOLVED part of the issue by searching the Internet for 3 days to find a fix THAT I FOUND ON LENOVO WEBSITE!! I am disgusted at your customer service or lack there of, when I purchased a 3-year 24-hour onsite warranty.  I am now afraid for the next 3 years if this is what I can expect.
else	quicker resolution times ( 10 weeks from call logged to site visit not acceptable), logging and actioning site visit requests, not relying on me to police your support process.  Accurate communication of reported fault between support departments etc...
else	The battery drain issue is not resolved and became a reoccurring issue for this device. I have sumbbited the device again to service centre. top of it the front flash stopped working after i picked my device from service centre last time. Guys please replace the device as you are unable to fix the issue .  This is unacceptable from this device after spending 28000 this worked hardly 8 months and stopped working. Really disappointing.
else	Wrong parts delivered due to wrong serial number given by Lenovo backend
else	By re-structuring your warranty program to be more robust and feedback oriented.
else	Someone at the Home Office needs to get some protocol, process and training in place for the ticketing and scheduling and repair process.   Completely unorganized and unprofessional the way it was handled.   Please take note that the technician himself was fine and the low rating on arriving at scheduled time and amount of time it took to complete repair were NOT due to him but lack of organization on the scheduling side which did not set him up for success.
else	Promise your future customers that the return of their product will be safe by ensuring that your shippers know to obtain a signature prior to release. It is not good practice to leave customers' highly expensive products on their porch in frigid temperatures - therefore leaving it vulnerable to be taken by someone passing by, or being damaged by the frigid temperatures.
else	improve the speed of case creation to onsite / part delivery to onsite technician. It shouldn't take 7 days to get an onsite repair complete especially requiring escalation
else	The people serving customers at the cashier to be more clear and knowledgeable about the laptops.
else	Take time to read what the problem is I am having so you know to send the correct parts
Agent	The only thing I was disappointed in was that I never received a follow up email stating what was done. This is the first email (requesting I complete a survey) that I have received.
else	The Lenovo service center is number is not available online, this contact is I reached is based in Malaysia and unable to resolve my issue.
else	The pick up service was ridiculous and we were not kept updated.
else	The behavior of the front office employees was very rude and unprofessional.
else	Provide text message updates throughout the process.
else	I was told conflicting information about delivery times which would have meant I would have been without my machine for over a month and then the parts turned up the next day. The engineer who came out was excellent and very professional.
else	Despite having issues with the computer since the first day we received it. It took months for the solution center to show that the motherboard was defective and had complete hard drive failure. I have never had this issue with a new computer of any other brand. I was astounded I had to pay for shipping since the problem began the first time I started my new computer.
else	Keep parts on hand so there is less down time when my computer dies.
Agent	The only problem I had was that the person I spoke to uses English as a second language so we both had a bit of trouble understanding each other at times though they did try to be patient with me.
else	laptop has not been fixed after being returned four times
else	Did not request a call back / just notice the feedback
else	faster response time for premium product!
else	Bad behavior unprofessional attitude
else	The laptop returned from depot with same issue
Agent	Decrease hold times.
else	test your unit thoroughly in our case the stayed 1 month to end user then returned.
else	I did not receive confirmation that my computer was received. I mailed it to you and then about a week later it was returned to me fixed. I was very happy with the experience, but to know that it was received/being worked on and coming back would have been helpful.  Thank you!
else	By reducing the spare part management through quality testing and checking of the same
else	It was hard/time consuming to get to the right department on the phone.
else	Give better resolution rather than sending a defective part
else	It is not easy to find where to track my case progress on your website.
else	Improve communication regarding the status of my machine; it was gone for a month with no updates as to why unless I took the time to inquire. Also, actually fix the problem on the first try. I have to contact support and miss more productivity with my laptop gone.
else	The wait time I had to wait for a representative.
else	Hire more experienced service engineers that understood the problem clearly and supply parts with proper testing if they are refurbished because your new parts are faulty which really lead to user disappointment.
else	Give time frames for when replacement parts will arrive. Give on site technicians parts/ability to try more than one solution per visit. Tech had to come out 3 times to try 3 different solutions. None of which fixed the problem. I'm now waiting on a replacement CPU, which I have no idea when it will arrive.
else	I asked for my phone software update as it seem I had a problem with my 4g calling in Z2+ model. They just flashed my phone and restored it to the original version (i.e. back to marshmallow from nogurt) and after updating it again, the problem still persist.
else	Be able to provide real time updates via SMS.
else	Do not ever ship a BIOS update that can destroy ThinkPad system motherboards again. Test every BIOS update extensively before you release it.
else	Warranty was not updated in rhe lenovo website
else	Better coordination for parts follow-up: the replaced part was sent to us AND brought as well by the technician. Overall, it is easier when only the technician brings in what is needed.
else	attend the service call on time and and close it on time
else	spare parts replacement. Good to know the background.Starting with a refurbished part is not that good, even though warrantied.
else	Laptop was returned encrypted. it was not sent encrypted and I cannot access it now
else	This phone not properly update.. wi-fi and net .. automatically slow....
else	Awaiting the technician's return to finish the work.
