tier_1	comments
else	have parts ON HAND for your NEXT BUSINESS DAY SERVICE customers paying extra!being told things are on backorder (and therefore: so much for next business day!) is is very frustrating.make sure your local service contractor will make the appointment as originally set.this is the first time i have ever been called and told another local service provider needs to be found because the first one has not finished the appointment before mine.
else	Reps were great but the wrong part was shipped 3 times...doesnt exist
else	this is the second failure, needing a repair and resulting in loss of data and time, that I have had on this machine, I have not had such reliability problems previously with other makes
else	It just seemed there was confusion as to where my computer part was and who was to contact me initially.  I seemed to have fallen through the cracks and my part was sent back, delaying the overall process.
else	contact me to discuss the worst customer service I've ever received in my professional career
else	Because I'm still waiting
else	the ticket takes a month to complete due to unavailable spare part, it will help if they have stocks of different unit parts for faster replacement
else	Improve personnel on telephone read emails and keep customer updated as much as possible
else	Make the in home repair service process faster and more reliable. I waited more than a month for my computer to be repaired and every time I called to check the status I was given a different answer as to why it wasnt repaired yet. I paid extra to have the in home service and I might as well not paid for that since I spent more time waiting for the part to come to me and be repaired than if I had just sent my computer in.
else	My power cord was not returned rendering my laptop useless. I have yet to receive the new one promised or receive a phone call from a supervisor as was promised during the same chat that this was discussed.
else	Your service is one of  the worst I've ever experienced, from getting switched round to different departments, hang-ups and technicians who don't have a clue what they're talking about, nor do they listen
else	Stop transferring me to different department. Actually fix my laptop when you come to fix it. Do not take three weeks to come fix my laptop. Have basic parts available so that in this age no one has to wait for three weeks.
else	Please improve delivery time period for all required parts from main office to service centers , well services center's executives are good in support.Thanks
else	Motorola doesn't value their customers and are extremely overconfident with their product that they don't value honest feedback. Further, they are unreasonable when it comes to courtesy and do not pay attention to their demographic.
else	"better customer service representatives on the phone who can speak English fluently and clearly. Also more professional standards as the person I spoke to accused me of having a laptop out of warranty even though the previous contact I had with a previous service representative established that my laptop was covered by warranty still. Customer service representative also ended the call with ""ok that is all sorted, I am going on a break now bye bye"" or something very similar in regards to this."
else	Have better resolution for known errors as in the case of the faulty BIOS update that did not even work for the technician and rendered two perfectly working system boards inoperable.
else	Improvement needs in customer satisfaction by providing genuine new parts on service and timely support
else	Time to resolution
else	Fix products when returned with a screen shot showing fault, and customer explaining what was happening
else	took two tries to get a proper replacement part
else	More quality and on time delivery
